Symbol,Timestamp,Last,Bid,Ask,BidSize,AskSize,Volume,Open,High,Low,Close,Spread,VWAP,RSI,EMA9,EMA26,ALMA,ATR,up_001_002,up_002_005,up_005_010,up_010_plus,dn_001_002,dn_002_005,dn_005_010,dn_010_plus
NVDA,1749244409320,141.9100,141.9100,141.9200,1000,1600,2286,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244409963,141.9100,141.9100,141.9200,1000,1600,2366,141.9100,141.9100,141.9100,141.9100,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244410995,141.9100,141.9100,141.9200,1000,1600,2366,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244411573,141.9100,141.9100,141.9200,1000,1600,2366,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244411968,141.9200,141.9100,141.9200,1000,1600,2381,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244412073,141.9200,141.9100,141.9200,1000,1600,2381,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244412492,141.9200,141.9100,141.9200,1000,1600,2388,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244412492,141.9100,141.9100,141.9200,1000,1600,2389,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244413322,141.9100,141.9100,141.9200,1000,1600,2389,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,1749244413827,141.9100,141.9100,141.9200,1000,1600,2389,141.9200,141.9200,141.9200,141.9200,0.0100,142.1569,50.0000,141.9200,141.9200,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
